,Symbol
0,DCTH
1,MARA
2,IBIO
4,HEPA
5,INSG
6,PARR
7,CEAD
8,DYAI
10,MINM
11,CMCL
12,TOMZ
13,COCP
14,APPS
15,PRPH
16,NVEC
17,AYTU
18,PBLA
19,MMAT
20,INM
21,RCRT
22,AMOT
26,RIBT
28,VIVK
29,TZOO
30,SSNT
31,SUPN
32,SCKT
33,LAC
34,MIGI
36,LFMD
37,ISDR
38,VIVE
39,CPHI
40,NYMX
41,LCI
42,CBZ
43,IZEA
44,SLNO
47,CDXC
48,NEO
49,GRNQ
50,SNGX
51,UAMY
52,ORGS
53,CHEK
54,OIG
55,PFIE
56,RVYL
57,KNW
58,DTST
59,CTSO
60,NTIP
61,RCMT
62,KPRX
63,SWBI
64,BOXL
65,NVFY
67,CRMT
68,SOHU
69,NMTR
72,SOLO
74,TNXP
75,BTTR
76,CTXR
77,QRHC
78,OMQS
79,VGR
81,KPTI
82,STAF
83,OPRX
84,COMS
85,SUNW
86,VCEL
87,CYRX
89,LSAK
90,GMBL
91,XXII
92,COSM
93,BPTH
95,OCUP
96,FTFT
97,PLX
98,VRME
99,HEAR
100,OLB
101,SLNH
102,FSI
103,CODX
104,LIXT
105,PED
106,VERB
107,GAME
109,WORX
110,VTGN
111,LPSN
112,BTCS
113,RZLT
114,CRGE
115,CELH
116,XFOR
117,CVI
118,DSS
119,GERN
120,MBRX
121,AEMD
122,HROW
123,WFCF
125,BRFH
126,ERJ
127,BNGO
128,BLNK
129,WKHS
130,POAI
132,TGTX
133,IDW
134,OTLK
135,PCYO
136,XELB
138,AIRI
139,SOBR
140,KERN
141,ALT
142,DLPN
144,CCOI
146,VNRX
147,URG
148,FKWL
149,AMTX
150,DXPE
151,FUV
152,AVTX
153,ZIVO
154,NLTX
156,NTWK
157,SNES
158,GMGI
159,ARCE
162,MOBQ
164,GROM
165,SMID
166,KNDI
168,ATOS
169,UAVS
170,NEPT
171,ASLN
172,PCYG
173,CELZ
174,PLM
175,DTSS
178,SPPI
179,PTE
180,SDPI
181,GLG
182,ESTE
183,CCEL
184,EEFT
185,AMS
186,EQ
187,DWSN
188,IOVA
189,ECOR
190,SMTI
191,GNSS
192,CEMI
194,QUBT
195,CLSK
197,MULN
199,VISL
200,GNPX
201,RLGT
202,CPSH
203,SASI
204,IMNN
206,PETS
207,MNMD
208,GTX
209,GURE
210,SONN
211,ORGO
212,PYR
213,NRBO
215,JAZZ
216,CUEN
217,NMRD
219,PXS
221,AXDX
222,GRIN
224,AGS
226,AQB
227,EP
228,CEI
229,TENX
230,CAPR
231,VANI
232,PCSA
233,SPCB
234,PRPO
236,STKL
237,ZOM
239,CREG
240,TOVX
241,GRTS
244,CEIX
245,SNOA
247,BIOL
248,CODA
249,GES
250,BIMI
251,IDEX
252,CRMD
253,SEAC
254,NHTC
256,ABEO
257,HGBL
258,CBIO
259,SINT
260,EMAN
261,TCX
263,WYY
264,KULR
265,RNGR
266,FNGR
268,DFFN
269,REFR
270,BNTC
271,ABVC
272,STRM
273,MYO
274,NHWK
275,VSEC
276,HTGM
277,NXE
279,WKSP
280,RMTI
281,PIXY
284,PAYS
285,BTBT
286,QRTEB
287,CPRX
288,AEYE
289,RKDA
290,ELTK
291,NXPL
292,MSTR
293,WWR
296,AVDL
297,GTE
298,PACB
301,PETV
303,HIHO
304,EVTV
308,SPI
309,QUIK
310,ACHC
311,EGAN
312,TXMD
313,VTNR
318,CLRB
319,CHCI
320,LWAY
321,SOTK
322,VTVT
323,NCPL
324,DARE
325,GRBK
326,LSTA
327,MICS
328,RMBL
330,XTLB
331,LUNA
333,ROCC
334,PRFT
335,SNT
336,AMEH
337,PALT
338,ANY
339,THRM
340,VHC
341,TUSK
342,NOVN
343,MTH
344,GLDG
345,NRXP
347,BMRA
348,STRA
349,CYTH
350,RSLS
353,LFCR
355,SD
356,OSPN
357,POLA
358,ASAP
359,VIRX
362,DXCM
363,SCWO
364,RUTH
365,LTRX
366,ACCO
367,OGEN
368,CRVS
370,CVV
371,AEZS
374,ACER
376,OCC
377,MEDS
378,LGMK
382,NEPH
383,JVA
