,Symbol
0,BRK.B
1,BRK.A
2,META
3,CSCO
4,TBB
5,TBC
6,T
7,CAT
8,MUFG
9,INFY
10,ENBA
11,VALE
12,DUKB
13,IBN
14,ABNB
15,SOJD
16,SOJE
17,SOJC
18,BDXB
19,PBR
20,PBR.A
21,SAN
22,AMX
23,AMOV
24,SMFG
25,EPD
26,RELX
27,STLA
28,ING
29,TAK
30,SREA
31,ITUB
32,LYG
33,BBVA
34,KMI
35,MFG
36,ET
37,ABEV
38,PRS
39,PFH
40,PRH
41,HLN
42,MFC
43,BCS
44,NWG
45,WELL
46,KEYS
47,BF.A
48,BF.B
49,PCGU
50,PCG
51,VOD
52,CHT
53,LEN.B
54,ORAN
55,WIT
56,BBDO
57,BBD
58,NOK
59,DB
60,FITBP
61,FITBI
62,FITBO
63,FANG
64,TLK
65,ACGLN
66,ACGLO
67,DTB
68,DTG
69,DTW
70,CAJ
71,NU
72,HBANP
73,HBAN
74,HBANM
75,TEF
76,EC
77,CNHI
78,UMC
79,HPE
80,HEI.A
81,NTRSO
82,BSBR
83,MKC.V
84,ERIC
85,LPLA
86,SIVBP
87,SIRI
88,CMSD
89,CMSA
90,CMSC
91,AMCR
92,EBR
93,EBR.B
94,ASX
95,SJR
96,PARAP
97,VTRS
98,LBRDP
99,GRAB
100,FHN
101,LSXMB
102,NMR
103,PSNY
104,PSNYW
105,TAP.A
106,VIV
107,CS
108,SUZ
109,AFGD
110,AFGB
111,AFGE
112,AFGC
113,AEG
114,WSO.B
115,UHAL.B
116,ACI
117,FIVE
118,FCNCP
119,FCNCO
120,TEVA
121,ARCC
122,RZB
123,RZC
124,ICL
125,LBTYB
126,KEP
127,GFI
128,VST
129,GRFS
130,COTY
131,DCP
132,GGB
133,SBNYP
134,UNMA
135,YMM
136,BSAC
137,SKM
138,CX
139,PSO
140,CLVT
141,ADT
142,SFB
143,AIZN
144,KT
145,SGFY
146,UWMC
147,NYCB
148,AGNCM
149,AGNCO
150,AGNCP
151,AGNCL
152,AGNCN
153,CWEN.A
154,TREX
155,LU
156,MGRD
157,MGR
158,MGRB
159,VLY
160,VLYPP
161,VLYPO
162,PNFPP
163,DNB
164,COUP
165,FTI
166,SIGIP
167,ENLC
168,CYBR
169,APLS
170,SIM
171,SWN
172,PHYS
173,CCCS
174,WTFCP
175,WTFCM
176,ROIV
177,OZKAP
178,AUY
179,KGC
180,RIG
181,CIG.C
182,CIG
183,ALIT
184,ONB
185,ONBPO
186,ONBPP
187,FNB
188,ORCC
189,AM
190,AQNB
191,AQNA
192,AQNU
193,TIMB
194,AQN
195,WEN
196,WING
197,PDI
198,TEO
199,TSEM
200,HWCPZ
201,AJRD
202,RITM
203,TGNA
204,SEB
205,IRT
206,BSMX
207,ATCO
208,ATCOL
209,TAL
210,SID
211,PNM
212,ESGRO
213,ESGRP
214,LUMN
215,MTG
216,KMPB
217,LPL
218,BHFAM
219,BHFAL
220,BHFAO
221,BHFAN
222,BHFAP
223,AIMC
224,TFSL
225,APLE
226,CPG
227,RUM
228,DNP
229,BTG
230,TKC
231,MAXR
232,CEF
233,NTCO
234,SLMBP
235,PSLV
236,ELP
237,CVT
238,EVO
239,FOLD
240,SBBA
241,GEF.B
242,LIFW
243,DOC
244,DRS
245,UCBIO
246,KOS
247,HL
248,NEA
249,MQ
250,GBTG
251,DNA
252,BAK
253,TCBIO
254,PACWP
255,NWTN
256,ALVO
257,HGTY
258,EVOP
259,PK
260,TV
261,AMBP
262,MOG.B
263,MOG.A
264,LXP
265,ONEM
266,ENIC
267,NOMD
268,PAGS
269,AMTD
270,SBRA
271,PSEC
272,AAWW
273,MCW
274,ETRN
275,RLX
276,FULTP
